id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
109,Kim Hải Đặng,6.210.000 - 6.530.000 VND,Bắc Giang,"WiFi miễn phí, Quầy bar",15:30 - 13:00,9:30 - 12:00,Quầy bar,Nôi em bé
110,Duyên Phạm,14.760.000 - 15.130.000 VND,Đồng Nai,"Bữa sáng, Sân thượng / hiên, Tiện nghi cho khách khuyết tật, Dịch vụ phòng",15:30 - 14:00,9:30 - 12:00,Nôi/cũi theo yêu cầu,Khu vực cho phép hút thuốc
111,Vân Dương,11.390.000 - 11.450.000 VND,Hà Tĩnh,"Lễ tân 24 giờ, Quầy bar, Chỗ đỗ xe, Tiện nghi cho khách khuyết tật",13:00 - 15:00,9:30 - 12:00,"Khu vực bãi tắm riêng, Phòng không hút thuốc",Giường phụ
112,Vũ Phạm,15.100.000 - 17.040.000 VND,Hà Giang,"Lễ tân 24 giờ, Tiện nghi cho khách khuyết tật",15:30 - 18:00,10:30 - 12:00,"Quầy bar, Giặt ủi, Nhà hàng, Phòng gia đình",Giáp biển
113,Khoa Nguyễn,800.000 - 1.560.000 VND,Cao Bằng,Hồ bơi ngoài trời,11:30 - 15:00,12:30 - 12:00,"Lễ tân 24 giờ, Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",
114,Bảo Dương,7.360.000 - 9.360.000 VND,Bắc Giang,"Xe đưa đón sân bay, Điều hòa nhiệt độ, Tiện nghi cho khách khuyết tật",14:30 - 18:00,12:30 - 12:00,"Giặt ủi, Sân vườn, Tiện nghi BBQ",Khu vực cho phép hút thuốc
115,Lâm Mai,5.510.000 - 5.730.000 VND,Quảng Ngãi,"Phòng gia đình, WiFi miễn phí, Sân thượng / hiên, Giặt ủi",15:30 - 15:00,9:00 - 12:00,"Phòng không hút thuốc, Hồ bơi trong nhà, Dọn phòng hàng ngày",Không cần dọn phòng
116,Lan Hoàng,3.460.000 - 5.230.000 VND,Hòa Bình,"Dọn phòng hàng ngày, Lễ tân 24 giờ, Khu vực bãi tắm riêng",13:30 - 15:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu, Khu vực bãi tắm riêng, Phòng không hút thuốc",
117,Kim Đức Nguyễn,680.000 - 1.050.000 VND,Thanh Hóa,"Lễ tân 24 giờ, Nhà hàng, Phòng gia đình, Dịch vụ phòng",13:30 - 16:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ, Phòng gia đình",Khu vực cho phép hút thuốc
118,Lâm Vũ,7.560.000 - 8.580.000 VND,Gia Lai,"Dịch vụ phòng, Điều hòa nhiệt độ, Bữa sáng",12:30 - 17:00,12:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Xe đưa đón sân bay, Tiện nghi BBQ",Giường phụ
119,Hoàng Trần,5.890.000 - 7.670.000 VND,Trà Vinh,"Hồ bơi ngoài trời, Điều hòa nhiệt độ, Nhà hàng, Phòng gia đình",14:00 - 18:00,12:00 - 12:00,"Phòng không hút thuốc, Tiện nghi cho khách khuyết tật, Tiện nghi BBQ",
120,Quang Bùi,11.150.000 - 11.900.000 VND,TP. Hồ Chí Minh,"Giặt ủi, Tiện nghi BBQ, Quầy bar",12:30 - 17:00,10:00 - 12:00,"Nhà hàng, Dịch vụ phòng",Phòng yên tĩnh
121,Hà Vũ,7.440.000 - 8.860.000 VND,Lào Cai,"Dọn phòng hàng ngày, Máy pha trà/cà phê, Nhà hàng",15:00 - 13:00,11:30 - 12:00,"Nôi/cũi theo yêu cầu, WiFi miễn phí, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục",
122,Thành Hoàng,6.540.000 - 8.190.000 VND,Bắc Kạn,"Dọn phòng hàng ngày, Phòng không hút thuốc, Nôi/cũi theo yêu cầu, Tiện nghi cho khách khuyết tật",12:00 - 14:00,12:00 - 12:00,Nôi/cũi theo yêu cầu,
123,Vũ Lê,3.420.000 - 3.840.000 VND,Gia Lai,"Tiện nghi cho khách khuyết tật, Nôi/cũi theo yêu cầu",13:00 - 15:00,10:30 - 12:00,"Quầy bar, Hồ bơi trong nhà",Hướng biển
124,Lâm Lê,10.340.000 - 11.990.000 VND,Bình Thuận,"Giặt ủi, Phòng không hút thuốc",15:30 - 17:00,9:00 - 12:00,Lễ tân 24 giờ,Giường phụ
125,Hạnh Bảo Đặng,5.470.000 - 7.140.000 VND,Cần Thơ,"Sân thượng / hiên, Quầy bar, Bữa sáng, Sân vườn",15:30 - 18:00,11:30 - 12:00,"Phòng không hút thuốc, Chỗ đỗ xe",
126,Chi Hoàng,1.540.000 - 3.310.000 VND,Bắc Giang,"Dọn phòng hàng ngày, WiFi miễn phí",14:30 - 14:00,11:00 - 12:00,"Tiện nghi BBQ, Thang máy, Khu vực bãi tắm riêng",Tầng cao
127,Ngọc Trần,8.210.000 - 8.550.000 VND,Quảng Trị,"Nôi/cũi theo yêu cầu, Máy pha trà/cà phê, Điều hòa nhiệt độ",13:00 - 16:00,9:30 - 12:00,"Dịch vụ phòng, Nhà hàng, Điều hòa nhiệt độ, Lễ tân 24 giờ",
128,Bảo Lê,7.910.000 - 9.490.000 VND,Hải Phòng,"Giặt ủi, Thang máy",15:30 - 14:00,10:30 - 12:00,"Sân vườn, Hồ bơi trong nhà, Bữa sáng, Phòng gia đình",Khu vực cho phép hút thuốc
129,Lâm Dương,9.410.000 - 10.030.000 VND,Cần Thơ,"Lễ tân 24 giờ, Hồ bơi trong nhà, Sân vườn",15:30 - 15:00,9:00 - 12:00,"Nhà hàng, Xe đưa đón sân bay, Khu vực bãi tắm riêng, Tiện nghi cho khách khuyết tật",Tầng cao
130,Nhật Đặng,970.000 - 2.000.000 VND,Bắc Giang,"Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê",13:00 - 16:00,12:30 - 12:00,Nhà hàng,Không cần dọn phòng
131,Hải Mai,7.690.000 - 8.560.000 VND,Lạng Sơn,"Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng, Hồ bơi ngoài trời",15:30 - 17:00,9:00 - 12:00,Nhà hàng,Giáp biển
132,Nhật Đặng,10.680.000 - 11.850.000 VND,Bình Phước,"Thang máy, Sân thượng / hiên",13:00 - 16:00,11:30 - 12:00,"Tiện nghi BBQ, Trung tâm thể dục, Hồ bơi trong nhà, Sân vườn",Tầng cao
133,Lâm Hoàng,6.830.000 - 8.560.000 VND,Bình Dương,"Trung tâm thể dục, Hồ bơi trong nhà, Khu vực bãi tắm riêng, Tiện nghi BBQ",11:30 - 15:00,10:00 - 12:00,"Giặt ủi, Nôi/cũi theo yêu cầu, Quầy bar, Khu vực bãi tắm riêng",Không cần dọn phòng
134,Nhật Lê,3.070.000 - 4.820.000 VND,Đắk Lắk,Trung tâm thể dục,11:00 - 13:00,12:30 - 12:00,"Nhà hàng, WiFi miễn phí, Tiện nghi BBQ, Hồ bơi ngoài trời",Giường phụ
135,Hạnh Trí Dương,9.700.000 - 11.590.000 VND,Quảng Ngãi,Tiện nghi BBQ,12:00 - 17:00,11:30 - 12:00,"Thang máy, Giặt ủi, Dọn phòng hàng ngày, Máy pha trà/cà phê",Tầng cao
136,Dũng Nguyễn,13.890.000 - 15.870.000 VND,Thừa Thiên Huế,"Sân thượng / hiên, Sân vườn, Hồ bơi ngoài trời",12:30 - 17:00,11:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Hồ bơi trong nhà, Tiện nghi BBQ",
137,Nhật Hoàng,14.480.000 - 15.740.000 VND,Gia Lai,"Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê, Khu vực bãi tắm riêng, Xe đưa đón sân bay",13:00 - 17:00,12:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng, Hồ bơi trong nhà",
138,Tú Đặng,14.670.000 - 14.880.000 VND,Hà Nam,"Quầy bar, Xe đưa đón sân bay, Khu vực bãi tắm riêng, Sân vườn",12:00 - 17:00,11:30 - 12:00,"Điều hòa nhiệt độ, Sân thượng / hiên",Nôi em bé
139,Nhật Nguyễn,5.010.000 - 5.140.000 VND,Phú Thọ,"Quầy bar, Dịch vụ phòng",11:00 - 16:00,11:30 - 12:00,Phòng không hút thuốc,Phòng yên tĩnh
140,Nhật Thế Dương,11.320.000 - 11.730.000 VND,Hải Phòng,"Sân vườn, Quầy bar, Hồ bơi ngoài trời, Trung tâm Spa & chăm sóc sức khoẻ",13:30 - 15:00,9:00 - 12:00,"Máy pha trà/cà phê, Khu vực bãi tắm riêng",Phòng yên tĩnh
141,Thành Mai,3.630.000 - 4.700.000 VND,Tiền Giang,"Lễ tân 24 giờ, Chỗ đỗ xe",14:00 - 18:00,11:00 - 12:00,Hồ bơi trong nhà,Hướng biển
142,Yến Dương,6.910.000 - 7.640.000 VND,Hưng Yên,"Nhà hàng, Nôi/cũi theo yêu cầu, Dọn phòng hàng ngày, Xe đưa đón sân bay",12:00 - 15:00,10:30 - 12:00,"Tiện nghi BBQ, Giặt ủi, Bữa sáng",View đẹp
143,Quang Dương,11.670.000 - 13.400.000 VND,Quảng Trị,"Giặt ủi, Sân thượng / hiên",14:30 - 17:00,11:00 - 12:00,"Phòng không hút thuốc, Điều hòa nhiệt độ, Giặt ủi, Nhà hàng",Nôi em bé
144,Hà Tấn Hoàng,180.000 - 850.000 VND,Hà Tĩnh,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ",13:30 - 15:00,9:30 - 12:00,"Tiện nghi BBQ, Dịch vụ phòng, Lễ tân 24 giờ",Giáp biển
145,An Đặng,6.330.000 - 6.740.000 VND,Hải Dương,"Tiện nghi BBQ, Điều hòa nhiệt độ, Quầy bar",13:30 - 17:00,10:00 - 12:00,"Sân vườn, Nhà hàng",Giường phụ
146,Yến Vũ,7.700.000 - 8.770.000 VND,Quảng Bình,"Trung tâm Spa & chăm sóc sức khoẻ, Máy pha trà/cà phê, Phòng không hút thuốc, Hồ bơi ngoài trời",12:00 - 17:00,12:30 - 12:00,Trung tâm thể dục,
147,Vũ Hoàng,17.020.000 - 18.430.000 VND,TP. Hồ Chí Minh,"Trung tâm thể dục, Máy pha trà/cà phê",12:00 - 15:00,12:00 - 12:00,"Tiện nghi BBQ, Trung tâm thể dục",Khu vực cho phép hút thuốc
148,Khoa Vũ,9.170.000 - 9.320.000 VND,Hưng Yên,"Nôi/cũi theo yêu cầu, WiFi miễn phí",14:00 - 17:00,12:30 - 12:00,Chỗ đỗ xe,
149,Hà Nguyễn,110.000 - 2.020.000 VND,Cần Thơ,Lễ tân 24 giờ,14:30 - 18:00,9:00 - 12:00,Sân vườn,
150,Nhật Nguyễn,8.420.000 - 8.890.000 VND,Sóc Trăng,"Trung tâm Spa & chăm sóc sức khoẻ, Quầy bar",14:30 - 16:00,12:30 - 12:00,"Phòng gia đình, Phòng không hút thuốc, Máy pha trà/cà phê, Nhà hàng",Tầng cao
151,Lâm Mai,2.470.000 - 2.930.000 VND,Lâm Đồng,"Nôi/cũi theo yêu cầu, Nhà hàng, Khu vực bãi tắm riêng, Dịch vụ phòng",11:00 - 15:00,12:30 - 12:00,"Dịch vụ phòng, Dọn phòng hàng ngày, Tiện nghi cho khách khuyết tật, Nhà hàng",
152,Hà Đặng,17.970.000 - 19.830.000 VND,Quảng Trị,Lễ tân 24 giờ,14:00 - 14:00,10:00 - 12:00,Sân thượng / hiên,
153,Phúc Đức Nguyễn,12.290.000 - 14.020.000 VND,Quảng Nam,Dịch vụ phòng,11:30 - 16:00,10:00 - 12:00,Nhà hàng,View đẹp
154,Châu Lê,4.840.000 - 6.720.000 VND,Lào Cai,"Trung tâm thể dục, Sân thượng / hiên, Trung tâm Spa & chăm sóc sức khoẻ",13:00 - 15:00,10:00 - 12:00,"Hồ bơi trong nhà, Xe đưa đón sân bay, Lễ tân 24 giờ, Máy pha trà/cà phê",Chỗ đậu xe riêng
155,Bảo Phú Mai,12.870.000 - 14.610.000 VND,Hậu Giang,"Lễ tân 24 giờ, Tiện nghi cho khách khuyết tật, Quầy bar, Phòng không hút thuốc",14:30 - 18:00,12:30 - 12:00,"Hồ bơi trong nhà, Chỗ đỗ xe",
156,Dũng Đức Lê,11.060.000 - 12.280.000 VND,Đắk Lắk,"Hồ bơi trong nhà, Tiện nghi BBQ",12:30 - 13:00,12:30 - 12:00,"Chỗ đỗ xe, Dịch vụ phòng",
157,Thành Đặng,6.810.000 - 8.470.000 VND,Bắc Ninh,"Tiện nghi cho khách khuyết tật, Phòng gia đình, Máy pha trà/cà phê, Khu vực bãi tắm riêng",12:00 - 15:00,12:00 - 12:00,Hồ bơi ngoài trời,Giường phụ
158,Hoàng Lê,14.880.000 - 16.600.000 VND,Lạng Sơn,"Sân vườn, Hồ bơi ngoài trời",13:30 - 13:00,10:00 - 12:00,Khu vực bãi tắm riêng,Giáp biển
159,Hồng Bùi,5.010.000 - 6.800.000 VND,Nam Định,"Chỗ đỗ xe, Dịch vụ phòng",15:30 - 15:00,12:30 - 12:00,"Hồ bơi trong nhà, Xe đưa đón sân bay, Tiện nghi cho khách khuyết tật",Giáp biển
160,Huy Nguyễn,9.590.000 - 9.850.000 VND,Tây Ninh,"Trung tâm Spa & chăm sóc sức khoẻ, Thang máy, Hồ bơi ngoài trời, Tiện nghi cho khách khuyết tật",13:30 - 13:00,10:00 - 12:00,Xe đưa đón sân bay,Giường phụ
161,Trọng Xuân Trần,11.910.000 - 13.760.000 VND,Hải Phòng,"Nhà hàng, Hồ bơi ngoài trời, Thang máy",12:30 - 17:00,10:30 - 12:00,"Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ, Sân vườn",Phòng không cửa sổ
162,Hà Trần,15.190.000 - 16.450.000 VND,Hưng Yên,"Khu vực bãi tắm riêng, Tiện nghi cho khách khuyết tật",12:00 - 18:00,12:00 - 12:00,Nôi/cũi theo yêu cầu,
163,Anh Hoàng,17.390.000 - 17.590.000 VND,Vĩnh Long,Trung tâm Spa & chăm sóc sức khoẻ,11:30 - 14:00,10:00 - 12:00,"Bữa sáng, Hồ bơi ngoài trời",Tầng cao
164,Bảo Mai,1.280.000 - 2.870.000 VND,Ninh Bình,"Phòng không hút thuốc, Sân vườn, Bữa sáng, Máy pha trà/cà phê",15:30 - 13:00,9:30 - 12:00,"Bữa sáng, Nôi/cũi theo yêu cầu, Tiện nghi BBQ",Chỗ đậu xe riêng
165,Bảo Hữu Bùi,2.240.000 - 2.490.000 VND,Lai Châu,"Dịch vụ phòng, Hồ bơi ngoài trời",15:30 - 15:00,11:30 - 12:00,Tiện nghi cho khách khuyết tật,Giáp biển
166,Hạnh Thị Dương,11.620.000 - 12.250.000 VND,Quảng Bình,"Hồ bơi trong nhà, Phòng không hút thuốc",11:00 - 13:00,12:30 - 12:00,"Máy pha trà/cà phê, Sân vườn, Lễ tân 24 giờ, Quầy bar",
167,Lan Bùi,3.550.000 - 3.770.000 VND,Kiên Giang,"Quầy bar, Thang máy, Trung tâm thể dục, Điều hòa nhiệt độ",15:00 - 14:00,10:30 - 12:00,"Lễ tân 24 giờ, Phòng gia đình, Phòng không hút thuốc",Khu vực cho phép hút thuốc
168,Bảo Trí Nguyễn,11.590.000 - 13.280.000 VND,Bạc Liêu,"Thang máy, Bữa sáng",12:00 - 18:00,12:00 - 12:00,"Giặt ủi, Trung tâm thể dục, Dịch vụ phòng",Không cần dọn phòng
169,Nhật Hữu Vũ,13.910.000 - 15.300.000 VND,Hà Giang,"Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng, Nhà hàng, Tiện nghi BBQ",11:30 - 13:00,9:30 - 12:00,"Phòng gia đình, Thang máy",Giường phụ
170,Phúc Phú Trần,12.240.000 - 13.260.000 VND,Yên Bái,"Bữa sáng, Quầy bar, Xe đưa đón sân bay",14:30 - 14:00,11:30 - 12:00,"Giặt ủi, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đỗ xe",
171,Kim Nguyễn,12.710.000 - 13.470.000 VND,Tây Ninh,"Tiện nghi BBQ, Phòng gia đình",11:30 - 14:00,12:00 - 12:00,"Thang máy, Tiện nghi cho khách khuyết tật, Điều hòa nhiệt độ, Phòng gia đình",
172,Ngọc Dương,6.360.000 - 7.500.000 VND,Hà Nội,"Điều hòa nhiệt độ, Nhà hàng, Phòng gia đình",12:30 - 16:00,12:00 - 12:00,Phòng gia đình,Hướng biển
173,Mai Lê,12.270.000 - 13.810.000 VND,Sơn La,"Chỗ đỗ xe, Bữa sáng, Hồ bơi trong nhà",14:30 - 13:00,10:00 - 12:00,"Giặt ủi, Nhà hàng, Xe đưa đón sân bay, Hồ bơi trong nhà",
174,Nam Lê,3.030.000 - 3.200.000 VND,Bình Thuận,"Xe đưa đón sân bay, WiFi miễn phí, Hồ bơi trong nhà, Sân vườn",11:30 - 15:00,10:30 - 12:00,"Dọn phòng hàng ngày, Điều hòa nhiệt độ",
175,Vũ Bùi,180.000 - 1.200.000 VND,Hà Giang,"Thang máy, Dọn phòng hàng ngày, WiFi miễn phí, Quầy bar",15:00 - 15:00,11:00 - 12:00,"Thang máy, Giặt ủi, Chỗ đỗ xe, Hồ bơi trong nhà",Phòng không cửa sổ
176,Thành Quang Dương,10.100.000 - 11.580.000 VND,Sơn La,"Thang máy, Chỗ đỗ xe",13:30 - 15:00,9:00 - 12:00,"Phòng không hút thuốc, Trung tâm Spa & chăm sóc sức khoẻ",Giáp biển
177,Phương Trần,14.550.000 - 15.090.000 VND,Hòa Bình,"Tiện nghi BBQ, Phòng gia đình, WiFi miễn phí",14:00 - 18:00,11:00 - 12:00,"Phòng không hút thuốc, Nhà hàng, Tiện nghi BBQ",Không cần dọn phòng
178,Châu Văn Phạm,1.560.000 - 2.710.000 VND,Nam Định,"Trung tâm thể dục, Chỗ đỗ xe, Máy pha trà/cà phê, Nôi/cũi theo yêu cầu",14:00 - 15:00,9:00 - 12:00,"Phòng không hút thuốc, Tiện nghi cho khách khuyết tật",
179,Mai Dương,12.590.000 - 12.710.000 VND,Lào Cai,"Trung tâm Spa & chăm sóc sức khoẻ, Thang máy, WiFi miễn phí, Điều hòa nhiệt độ",11:00 - 15:00,10:00 - 12:00,"Tiện nghi cho khách khuyết tật, Chỗ đỗ xe, Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ",Khu vực cho phép hút thuốc
180,Hưng Mai Bảo Vũ,3.130.000 - 4.020.000 VND,Bà Rịa - Vũng Tàu,"Điều hòa nhiệt độ, Hồ bơi trong nhà, WiFi miễn phí, Phòng gia đình",11:00 - 15:00,11:30 - 12:00,"Hồ bơi ngoài trời, Nôi/cũi theo yêu cầu, Sân vườn, Tiện nghi cho khách khuyết tật",Giáp biển
181,Kim Vũ,14.830.000 - 16.620.000 VND,Hòa Bình,"Phòng gia đình, Hồ bơi trong nhà, Lễ tân 24 giờ",11:00 - 15:00,9:00 - 12:00,"Nôi/cũi theo yêu cầu, Giặt ủi",Tầng cao
182,Trung Đặng,11.510.000 - 12.610.000 VND,Vĩnh Phúc,"Dịch vụ phòng, Chỗ đỗ xe, Quầy bar, Giặt ủi",12:30 - 16:00,9:00 - 12:00,"Trung tâm thể dục, WiFi miễn phí, Chỗ đỗ xe, Bữa sáng",Nôi em bé
183,Trung Bùi,5.750.000 - 7.680.000 VND,Quảng Nam,Trung tâm thể dục,11:00 - 15:00,11:00 - 12:00,"Điều hòa nhiệt độ, Xe đưa đón sân bay, Phòng không hút thuốc, Sân vườn",Phòng không cửa sổ
184,Hải Mai Bảo Vũ,6.460.000 - 7.990.000 VND,Hà Tĩnh,"Trung tâm thể dục, Điều hòa nhiệt độ, Tiện nghi cho khách khuyết tật, Dọn phòng hàng ngày",15:00 - 18:00,11:00 - 12:00,"Thang máy, Điều hòa nhiệt độ",
185,Nhật Văn Hoàng,2.440.000 - 2.910.000 VND,Hà Nội,"Nôi/cũi theo yêu cầu, Chỗ đỗ xe",14:00 - 17:00,12:30 - 12:00,"Sân vườn, Quầy bar",Phòng không cửa sổ
186,Nhật Đức Trần,3.590.000 - 5.020.000 VND,Bình Thuận,"Hồ bơi trong nhà, Nhà hàng, Giặt ủi, Thang máy",14:00 - 15:00,9:30 - 12:00,"Hồ bơi ngoài trời, Chỗ đỗ xe",Khu vực cho phép hút thuốc
187,Ngọc Phạm,13.420.000 - 14.690.000 VND,Hải Phòng,"WiFi miễn phí, Tiện nghi BBQ, Dọn phòng hàng ngày, Sân vườn",12:00 - 17:00,9:00 - 12:00,"Lễ tân 24 giờ, Xe đưa đón sân bay, Dịch vụ phòng",Chỗ đậu xe riêng
188,Nhật Vũ,16.030.000 - 17.210.000 VND,Lào Cai,"Máy pha trà/cà phê, Nôi/cũi theo yêu cầu, Điều hòa nhiệt độ, Trung tâm thể dục",11:30 - 17:00,11:00 - 12:00,"Máy pha trà/cà phê, Hồ bơi ngoài trời, WiFi miễn phí, Điều hòa nhiệt độ",Phòng không cửa sổ
189,Hồng Đặng,15.430.000 - 16.070.000 VND,Đồng Tháp,Dọn phòng hàng ngày,13:30 - 13:00,12:00 - 12:00,"Hồ bơi ngoài trời, Khu vực bãi tắm riêng",Tầng cao
190,Tùng Đặng,17.680.000 - 19.500.000 VND,Nghệ An,"Giặt ủi, Sân thượng / hiên, Nhà hàng, Hồ bơi ngoài trời",12:00 - 17:00,11:30 - 12:00,"Thang máy, Tiện nghi BBQ",
191,Yến Vũ,11.770.000 - 12.460.000 VND,Vĩnh Long,Nhà hàng,14:00 - 15:00,10:00 - 12:00,"Nhà hàng, Tiện nghi BBQ",Nôi em bé
192,Lan Mai,15.640.000 - 17.380.000 VND,Hải Dương,"Nhà hàng, Trung tâm thể dục, Quầy bar, Xe đưa đón sân bay",14:30 - 16:00,9:00 - 12:00,"Nôi/cũi theo yêu cầu, Khu vực bãi tắm riêng, Xe đưa đón sân bay, Tiện nghi BBQ",Tầng cao
193,Lâm Đặng,9.360.000 - 10.610.000 VND,Gia Lai,Trung tâm Spa & chăm sóc sức khoẻ,11:30 - 18:00,11:00 - 12:00,"Hồ bơi ngoài trời, WiFi miễn phí, Sân vườn, Xe đưa đón sân bay",View đẹp
194,Hương Trần,6.960.000 - 8.370.000 VND,Lào Cai,"Trung tâm thể dục, Sân vườn",13:00 - 13:00,9:30 - 12:00,Điều hòa nhiệt độ,Chỗ đậu xe riêng
195,Hoàng Hoàng Trần,9.080.000 - 10.250.000 VND,An Giang,"Hồ bơi ngoài trời, Tiện nghi BBQ, Nhà hàng, Quầy bar",13:00 - 15:00,9:30 - 12:00,"Phòng gia đình, Tiện nghi cho khách khuyết tật, Phòng không hút thuốc",Chỗ đậu xe riêng
196,Quang Nguyễn,1.110.000 - 2.130.000 VND,Ninh Bình,"Khu vực bãi tắm riêng, Tiện nghi BBQ, Trung tâm Spa & chăm sóc sức khoẻ",12:30 - 18:00,9:00 - 12:00,Hồ bơi ngoài trời,Chỗ đậu xe riêng
197,Bùi,12.200.000 - 12.780.000 VND,Lai Châu,"Bữa sáng, Tiện nghi BBQ, Thang máy, Điều hòa nhiệt độ",14:00 - 16:00,9:00 - 12:00,"Phòng gia đình, Khu vực bãi tắm riêng, Điều hòa nhiệt độ, Thang máy",View đẹp
198,Vũ Hữu Vũ,2.850.000 - 3.830.000 VND,Sóc Trăng,"Quầy bar, Phòng không hút thuốc",12:00 - 17:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng, Hồ bơi ngoài trời, Quầy bar",Không cần dọn phòng
199,Dương Bùi,12.660.000 - 14.420.000 VND,Hòa Bình,"Phòng gia đình, Điều hòa nhiệt độ",12:00 - 17:00,12:30 - 12:00,"Thang máy, Nhà hàng, Dịch vụ phòng, Xe đưa đón sân bay",Nôi em bé
200,Chi Phạm,11.380.000 - 12.920.000 VND,Nam Định,"Trung tâm Spa & chăm sóc sức khoẻ, Tiện nghi BBQ, Bữa sáng",13:00 - 17:00,10:30 - 12:00,"Quầy bar, Lễ tân 24 giờ, Dịch vụ phòng",Hướng biển
201,Vi Lê,4.980.000 - 6.260.000 VND,Ninh Bình,Nôi/cũi theo yêu cầu,11:30 - 15:00,10:30 - 12:00,"Tiện nghi cho khách khuyết tật, Máy pha trà/cà phê, Phòng không hút thuốc, Giặt ủi",Hướng biển
202,Kim Trần,390.000 - 1.900.000 VND,Bắc Kạn,Xe đưa đón sân bay,12:00 - 13:00,12:30 - 12:00,"WiFi miễn phí, Tiện nghi BBQ, Chỗ đỗ xe, Phòng gia đình",Khu vực cho phép hút thuốc
